character1,character2,lyric,song,act
HAMILTON,BURR,Rise up!,Right Hand Man,1
HAMILTON,MULLIGAN,Rise up!,Right Hand Man,1
HAMILTON,LAURENS,Rise up!,Right Hand Man,1
HAMILTON,LAFAYETTE,Rise up!,Right Hand Man,1
BURR,MULLIGAN,Rise up!,Right Hand Man,1
BURR,LAURENS,Rise up!,Right Hand Man,1
BURR,LAFAYETTE,Rise up!,Right Hand Man,1
MULLIGAN,LAURENS,Rise up!,Right Hand Man,1
MULLIGAN,LAFAYETTE,Rise up!,Right Hand Man,1
LAURENS,LAFAYETTE,Rise up!,Right Hand Man,1
HAMILTON,BURR,Rise up!,Right Hand Man,1
HAMILTON,MULLIGAN,Rise up!,Right Hand Man,1
HAMILTON,LAURENS,Rise up!,Right Hand Man,1
HAMILTON,LAFAYETTE,Rise up!,Right Hand Man,1
BURR,MULLIGAN,Rise up!,Right Hand Man,1
BURR,LAURENS,Rise up!,Right Hand Man,1
BURR,LAFAYETTE,Rise up!,Right Hand Man,1
MULLIGAN,LAURENS,Rise up!,Right Hand Man,1
MULLIGAN,LAFAYETTE,Rise up!,Right Hand Man,1
LAURENS,LAFAYETTE,Rise up!,Right Hand Man,1
HAMILTON,BURR,Rise up! Rise up!,Right Hand Man,1
HAMILTON,MULLIGAN,Rise up! Rise up!,Right Hand Man,1
HAMILTON,LAURENS,Rise up! Rise up!,Right Hand Man,1
HAMILTON,LAFAYETTE,Rise up! Rise up!,Right Hand Man,1
BURR,MULLIGAN,Rise up! Rise up!,Right Hand Man,1
BURR,LAURENS,Rise up! Rise up!,Right Hand Man,1
BURR,LAFAYETTE,Rise up! Rise up!,Right Hand Man,1
MULLIGAN,LAURENS,Rise up! Rise up!,Right Hand Man,1
MULLIGAN,LAFAYETTE,Rise up! Rise up!,Right Hand Man,1
LAURENS,LAFAYETTE,Rise up! Rise up!,Right Hand Man,1
BURR,HAMILTON,We keep meeting,Right Hand Man,1
ANGELICA,ELIZA,"""Rise up!","""",Right Hand Man,1
ANGELICA,PEGGY,"""Rise up!","""",Right Hand Man,1
ELIZA,PEGGY,"""Rise up!","""",Right Hand Man,1
ELIZA,ANGELICA,"Whoa, whoa, whoa...",Right Hand Man,1
ELIZA,PEGGY,"Whoa, whoa, whoa...",Right Hand Man,1
ANGELICA,PEGGY,"Whoa, whoa, whoa...",Right Hand Man,1
ELIZA,ANGELICA,"Whoa, whoa, whoa...",Right Hand Man,1
ELIZA,PEGGY,"Whoa, whoa, whoa...",Right Hand Man,1
ANGELICA,PEGGY,"Whoa, whoa, whoa...",Right Hand Man,1
ELIZA,ANGELICA,"Whoa, whoa, whoa...",Right Hand Man,1
ELIZA,PEGGY,"Whoa, whoa, whoa...",Right Hand Man,1
ANGELICA,PEGGY,"Whoa, whoa, whoa...",Right Hand Man,1
LAURENS,LAFAYETTE,What?,Right Hand Man,1
LAURENS,MULLIGAN,What?,Right Hand Man,1
LAFAYETTE,MULLIGAN,What?,Right Hand Man,1
LAURENS,LAFAYETTE,What?,Right Hand Man,1
LAURENS,MULLIGAN,What?,Right Hand Man,1
LAFAYETTE,MULLIGAN,What?,Right Hand Man,1
LAURENS,LAFAYETTE,What?,Right Hand Man,1
